,title,description,title_label,description_label
12,서울 버스 노조  파업 유보 부산   통상임금  협상 타결,노사는 그동안 이견을 보여왔던 상여금 등을 통상임금에 포함하는 방향으로 임금체계를 개편해 임금  를 인상하고   정년 을 현행  세에서  년  연장 하는 내용 등에 합의했습니다  박형준 부산시장은  이번 파업사태를  ,0,0
13,민주  진짜 대한민국 담긴 정책공약집 발간, 일제 추진  정년   세 단계적  연장  등이 꼽힌다 민주당은  대 강국 경제 강국 외교안보 강국 문화 강국 민주주의 강국 복지 강국  건설을 위한 민주당의  진짜 성장  전략이 담겨 있다 며  이를 통해 기술주도 성장  ,1,0
14, 시간 멈춘 부산 시내버스  임금   이상 올려 파업 풀었다,부산시 등에 따르면  부산 시내버스 노사는 이날 물밑 협상을 벌인 끝에 기본급   인상   정년   세에서  세로  연장  임금 체계 개편 등 임금 단체협약 합의안에 사인했다  전국의 버스 노사가 정기 상여금을  ,0,1
15, 사설  시민 담보로 한 버스 파업진통 되풀이 안된다,막판 교섭에서 노조는  시급   인상  정년  현  세에서  세로  연장   버스 준공영제 협약 이행 등의 안건을 협상 테이블에 올렸다  사측은 재정 부담 등을 이유로 노조측의 이해를 호소하다 상당 부분 양보를 했다는  ,0,1
16,부산시내버스 임협 타결 파업으로  년 만에 출근길 올스톱 종합 ,노사 양측은 이날 새벽 부산지방노동위원회가 마련한 조정안을 기반으로  성과상여금 폐지 등 임금체계 개편  임금   인상  정년   세에서  년  연장  등에 합의했다  임금 동결 입장을 고수한 시가 입장을 바꾼  ,1,0
17, 대선공약     모든 노동자 권리보장 기본법       중대재해처벌법  , 정년 에 이른 근로자에 대해 기존 근로계약을 종료한 뒤 임금 조정 후 다시 고용하도록 하는 계속고용 방안과  주  시간제의 유연성을 강화하고자  연장 근로 단위를 확대하고 고소득 전문직 근로자를 제외하는 정책이  ,1,1
18,울산시내버스 노사  최종 조정 결론 도출  월  일로 연기,울산버스노조는 올해 임단협에서  기본급   인상  정년 연장 세 세   퇴직금 확보 방안 마련  상여금의 통상임금 편입  준공영제 협약 이행 등을 요구하고 있다  이에 대해 버스회사 측은 재정난을 이유로  ,0,1
19,현대차 노조 올 임단협 시작부터  험로 예고 ,현대자동차 노사가 올해 임금 및 단체협상을 앞둔 가운데  노조가 올해 기본급 인상과 전년도 순이익   성과급 지급   정년 연장  등을 사측에 요구하기로 했다  현대자동차 노조는  일 북구 현대차문화회관에서  ,0,1
20,전국 버스 총파업 피했다  서울 부산 정상 운행, 정년 도 만  세에서  세로  연장 된다  다만 창원 시내버스 노조는 이날 오전  시 첫 차부터 파업에 들어갔다  창원 시내버스의  에 해당하는  대가 파업에 동참했다  앞서 노사는 전날 오후  시부터 이날 오전  시까지  ,0,0
21,이랜드리테일  관리직 직원 물류센터 발령   비상경영 명분으로 부당 인 ,이어  관리직 직원은  년생부터  년생 중 일부를 대상으로  정년 연장  법안 발의 전 원거리 물류센터 발령을 계획하고 있고 업무도 상품  택갈이  및 물류 관리 업무를 전가해 사실상 인력 구조조정을 시도하고  ,0,0
22, 사설  또 멈춰선 창원 시내버스  시민 불편 가중,노사는 상여금  임금   정년 연장  등을 두고 접점을 찾다 협상이 결렬되면서  일 첫차부터 시내버스  개사  대의 운행이 중단된 것이다   대는 창원시내버스  에 해당한다  창원시내버스 노사는 지난해  월 대법원  ,0,1
23,전국 첫 공무직  정년연장  무산 임금피크제 쟁점,그런데  정년 연장 을 위한 노사 협의과정에서 이 제도가 무산될 처지에 놓였습니다  대구시가 전제 조건으로 내 건 임금피크제가 문제가 됐습니다  김민재기자가 보도합니다  대구시가 단계적으로 정년을  세까지  ,1,0
24,부산 버스노조  파업  시간 만에 철회,노사는 또 현재 만  세인  정년 을 내년  월 일부터  세로  년  연장 하기로 합의했다  경남 창원지역 시내버스가 파업에 돌입한  일 창원 성산구 시민생활체육관 정류장에서 시민들이 임시 버스 시간표를 들여다보고  ,0,0
25,광주 시내버스 노사 조정회의 중 파업 초읽기,노사는 오늘 일  오후  시부터 광주지방고용노동청에서 임금 인상과  정년 연장  등 주요 쟁점에 대해 제 차 조정회의를 진행하고 있습니다  조정회의 기한은 오늘 자정까지로  이 기한을 넘기면 조정이 중지되고 노조는  ,0,0
26, 년 만에 버스 파업 반나절 만에 철회,또  기사  정년 을 만  살로  년  연장 하기로 했습니다   박성훈 부산지역버스노동조합 위원장    지노위 지방노동위원회  조정위원들의 큰 협조가 있었고 그분들의 말씀에 일리가 있었기 때문에 저희는 흔쾌히  부산시는  ,1,0
27,울산 시내버스  운행중단 최악 사태는 면했다,노조 요구안건 중  세  정년연장 과  준공영제 협약 이행 등 다수의 제시안도 추후에 다시 협상하도록 미뤄뒀다  다만 노사는 합의안 도출 과정에서 매년 숙원으로 남겨온  미지급된 복지기금 과  미적립 퇴직연금 을  ,0,1
28, 사설   년 만에 멈춘 시내버스 노사 부산시 책임 통감해야, 정년 은 만  세로  년  연장 한다  노사는 그동안 임금   인상과 성과상여금의 통상임금 반영을 두고 견해차를 보였다  임금이 오른 만큼 부산시 부담이 커진다  부산시는 준공영제 시행으로 매년 시내버스 운영 적자를  ,0,1
29,대전 학교 급식 파업 장기화 교섭 교착 속 현장 혼선 여전,대전시교육청과 학교비정규직연대회의는 지난  일부터 단체교섭을 재개했지만  당직실무원 직종의  정년 연장  및 교섭 일정 문제를 놓고 입장차가 좁혀지지 않으며 협상은 교착 상태다  시교육청은 현재  세로 책정된  ,0,0
30,대법   통상임금 쇼크 부산 버스기사 월급   인상,  임금 오르고  정년 도  연장   일 부산시 등에 따르면 전국자동차노동조합연맹 부산버스노조와 부산시버스운송사업조합은 이날 부산지방노동위원회가 제시한 임금 협약 조정안을 수락하고 총파업을 해제했다  이에  ,0,0
31,연금개혁 공약 이재명  사각지대 해소    김문수  이차개혁 ,노인을 향해 연금 수급연령에 맞춘 법정 정년연장 을 단계적으로 추진하겠다고도 밝혔다  김문수 국민의힘 후보는  일  토론에서  국민연금 이차개혁 에 착수하겠다고 약속했다  연금개혁위원회에 청년이 참여하게 하고  ,0,1
32,  관세폭탄 비상인데 주  일제  꺼낸 현대차 노조,현대자동차 노동조합이 올해 임금 및 단체협약 임단협 에서  주  일 근무제 와  정년 연장 세 최장  세  등을 사측에 요구하기로 했다  국내에서 가장 많은 조합원을 거느린 현대차 노조가 이 카드를 꺼내자  ,0,1
33,창원 시내버스 노조 시민불편은 뒷전  누구를 위한 파업 ,노사는 지난해  월 대법원 판결에 따른 정기 상여금의 통상임금 반영  임금   인상   정년   세  연장  등을 두고 접점을 찾지 못한 것으로 알려졌다  특히 갈등을 빚는 부분은 다른 시도와 마찬가지로 통상임금  ,0,0
34, 차라리  부 만들어라 과학 빠진 대선 공약 과학자들  쓴소리 ,위한  정년 연장  등을 적극 추진하겠다고 밝혔다  조용민 위원장은   연구개발에 필수적인   확보를 위해 외국 클라우드 기업이 한국에 데이터센터를 설립하도록 해   를 대거 투입을 유도하고  데이터 특구 조성과   ,0,1
35,광주 시내버스 협상 결렬 시  일 첫차부터  파업 ,노조는 올해 임단협에서 임금   인상 호봉 기준 월  만원   세로  정년 연장  등을 요구하고 있다  이에 사측은 해마다 불어나는 적자를 이유로 임금 동결 입장을 고수하고 있는 것으로 전해졌다  광주시는  ,0,0
36, 부산 시내버스 파업 철회  오후부터 운행 창원 버스   멈췄다,양측은 상여금 등을 통상임금에 포함하는 방향으로 임금체계를 개편해 임금  를 인상하고  정년 을 현행  세에서  년  연장 하는 내용 등에 합의했다  앞서 부산 시내버스 노조는 이날 첫차부터 운행을 중단하는 전면  ,0,0
37,부산 시내버스 노사  내년 임금   인상 합의  종합 , 일 부산시와 부산지방노동위원회 이하 지노위  등에 따르면 부산버스운송사업조합과 부산버스노동조합은 이날 낮  시  분께 정기 상여금의 통상임금 반영   세  정년 연장 을 핵심으로 하는 임금 단체협상 조정안에  ,1,0
38,역대  최장 지각 도 모자라 성장도 개혁도  뜬구름 공약 , 그래픽 뉴스토마토  주  제 노란봉투법 정년연장  등 재추진 이재명 후보가 지난 대선부터 주장했던 노동시간 단축을 비롯해 연차휴가 확대 등을 핵심 노동 공약으로 발표했습니다  이 후보는 노동시간을  년까지  ,0,0
39,창원 시내버스 파업  재협상도  시간 째  평행선 , 정년 도 만 세에서  세로  년  연장 됐다  한편 지난  년 준공영제 도입 이후 두 번째 시작된 노조 파업으로 창원시 전체 시내버스의  인  대가 운행을 멈추자 창원시도  누구를 위한 파업이냐 며 노조에 강경한 입장을  ,0,0
40,창원 시내버스 파업 하루 넘기나 노사 협상 줄다리기,앞서 노사는 지난해  월 대법원 판결에 따른 정기 상여금의 통상임금 반영  임금   인상   정년   세  연장  등을 두고 입장차를 좁히지 못해 노조가 이날 오전  시 첫차부터 파업에 들어간 바 있다  시는 당장 임단협  ,0,0
41,부산 시내버스 노조 파업 철회 조정안 수용,양측은 상여금 등을 통상임금에 포함하는 방향으로 임금체계를 개편해 임금  를 인상하고  정년 을 현행  세에서  년  연장 하는 내용 등에 합의했습니다  노조가 파업을 철회하면서 집에서 대기하던 조합원들은  ,0,0
42, 현장에선  출근길 대란 아직 없지만 서울버스 노사  통상임금  협상 ,개선 정년 연장  등 임단협 협의 물꼬 기대 서울시 버스 노조가 임금 인상과 버스 준공영제의 공영화 등을 요구하고 있다  노조의 의견을 받아들이지 않는 서울시와 사측의 입장이 노조와 팽팽하게 대립하며 시민들이  ,1,0
43,발멈춘 창원 시내버스 시  노조에 강경한 입장,노사는 지난해  월 대법원 판결에 따른 정기 상여금의 통상임금 반영  임금   인상   정년   세  연장  등을 두고 접점을 찾지 못한 것으로 알려졌다  특히 갈등을 빚는 부분은 다른 시도와 마찬가지로 통상임금  ,0,0
44,이재명 공약집 군 검찰 등 권력기관 개혁  성장 등  회복 성장 행 ,노동 분야에서는 법정  정년 을  세까지 단계적으로  연장 하고  주  일제를 추진하겠다는 내용이 담겼다   생활밀착형  공약 중 하나인 아동수당은  세까지 점진적으로 확대하고  정부와 부모가 함께 입금하는  ,1,0
45, 뉴스모음   이차전지 캐즘 회복  베팅 기업들 유증 메자닌 이어진다 ,현대차 노조  주 일제   정년연장  해달라 한국경제  현대자동차 노동조합이 올해 임금 및 단체협약 임단협 에서  주  일 근무제 와  정년연장 최장  세  등을 사측에 요구하기로 했다   일 현대차 노조는  ,1,0
46,이재명  비트코인 현물   허용 대선 공약에 암호화폐 제도화 명시,노동 공약에서는 법정  정년 을  세까지 단계적으로  연장 하고  주  일제 도입  포괄임금제 금지   연결되지 않을 권리  보장 등이 포함됐다    실생활 밀착형 공약도 강화 생활 공약으로는 아동수당 지급 연령을  ,0,0
47, 중도일보 독자권익위  월 정례회   대선 이후  충청권 공약이행 점검  ,방 위원은 대선 주요의제에 대해  일제  주 시간제 도입에 대해선 반대 입장이지만   정년연장 은 국민연금 고갈 문제로 점진적으로 시행해야 할 필요가 있다고 생각한다 면서  다만  임금은 정부 주도로 현실적인  ,0,1
48, 로터리  고령화 사회의 역발상,출산 장려책   정년 연장  사회보장 강화  외국 인력 수입 등 저출생 고령화에 대한 여러 가지 대책이 제시되고 있다  아이를 많이 낳고 잘 키워서 사회를 젊게 만들려는 노력이 필요하지만 한편으로는 우리 사회가  ,1,1
49,전국 버스 총파업 피했다 서울 부산 정상 운행, 정년 도 만  세에서  세로  연장 된다  다만 창원 시내버스 노조는 이날 오전  시 첫 차부터 파업에 들어갔다  창원 시내버스의  에 해당하는  대가 파업에 동참했다  앞서 노사는 전날 오후  시부터 이날 오전  시까지  ,0,0
50,대선후보  인 선대위  과기   예산 늘리겠다  한목소리,이 밖에 민주당은   단과대 설립    병역특례추진 등을  국민의힘은 외부에서 과제를 수주해 연구원의 인건비를 충당하는 연구과제중심운영제도 의 폐지 수준의 개편  연구자  정년 연장  과학기술부총리 및  ,0,0
51, 헌법상 노동 권  두고도 맞붙었다 이재명  확대  김문수  남용 방지 ,연내 입법을 추진하고  정년 연장  시 범정부 지원에 나선다는 복안이다  임금 및 근로시간 개선을 위한 노사자율합의 지원체계를 구축할 계획이다  반면 김 후보는 고령자 고용연장을 추진하겠다고 했다  법정 정년은 현행  ,0,0
52,울산 시내버스 파업 보류 내달  일까지 노사합의 계속,노조는 기본급   인상   정년 연장 세  정기상여금의 통상임금 포함 등을 요구하고 있다  하지만 정기상여금의 통상임금 반영 여부를 두고 여전히 이견을 보여 협상에 난항을 겪었다  앞서 노조는 이날 새벽  시 분께  ,1,1
53,현대차 노조  주 일제   정년연장  해달라 ,현대자동차 노동조합이 올해 임금 및 단체협약 임단협 에서  주  일 근무제 와  정년연장 최장  세  등을 사측에 요구하기로 했다  자동차 업계  형님  격인 현대차 노조가 이 카드를 꺼내자 다른  ,0,0
54, 여름 전 타결  외치지만 조선  사 임단협  험난한 교섭 예고,올해 교섭의 핵심 쟁점은 예상대로  기본급 인상  정년 연장   임금피크제 폐지다   현대중공업 노조는 기본급을  만 원 인상하고  정년을 만  세까지 연장하며  임금피크제를 없애자고 요구했다  지난해 제시안과  ,1,0
55,울산 시내버스 노사 교섭 시한  연장   월  일까지 정상 운행,노조는 올해 임단협에서  기본급   인상  정년 연장 세 세   퇴직금 확보 방안 마련  상여금의 통상임금 편입  준공영제 협약 이행 등을 요구하고 있다  회사 측은 재정 여건과 노선 운영 현실 등을 이유로  ,0,1
56,성과급 통상임금에 포함 첫 사례 출현에 기업들  초비상    인건비    ,이를 반영해 내년부터 총임금은   인상되며   정년 도  세에서  세로  년  연장 된다  이번 개편은 전국적으로 확산하고 있는 통상임금 논의에 선례로 남게 됐다  지난해  월 대법원이  정기상여금도 통상임금에  ,1,1
57,비상 계엄 다신 없도록  민주당  계엄권 견제 담은 대선공약 발표,자녀 수에 따라 분양권 환급 감면을 추진하겠다고 약속했다  이 후보의 대표적인 공약 중 하나인  일제 추진도 이번 공약집에 담겼다  또 법정  정년 을  세까지 단계적으로  연장 하는 안을 올해 중 입법 추진하겠다고 했다 ,0,1
58, 늙으면  이 돌봐주겠죠  오늘만 산다는 중국  들 근황,수치로는  억  만 명에 달했다 고령화가 점차 심해지자 중국은  정년 을  년에서 최장  년까지  연장 했다  남성의  정년 은  세에서  세로  여성 사무직 근로자의  정년 은  세에서  세로 늘었다  생산업 등에 종사하는  ,0,0
59,저출생 고령화 최전선 될 보건 복지 정책  대선 후보들의 철학은 대선 ,노년층을 향해선 국민연금 수급연령에 맞춘 법정  정년 연장 을 단계적으로 추진하겠다고 밝혔다  김문수 후보는 청년층 불만을 고려해  국민연금  차 개혁 에 착수하겠다고 공약했다  연금개혁위원회에 청년층 참여를  ,0,0
60,부산 시내버스 노사협상 타결 버스노조  파업 철회,이를 반영해 임금은   인상하기로 했고   정년 은 만  세에서 만  세로  년  연장 했습니다  노사 합의에 따라 이날 첫 차부터 운행을 중단한 노조는 버스 파업을 철회할 예정입니다  부산에서  년 버스 준공영제  ,0,0
61,광주 시내버스 노조  총파업 가결,조정회의가 결렬되면 내일 아침 첫차부터 파업에 들어갈 예정입니다  노조는 임금   인상과   정년   세  연장 을 요구하고 있고  광주시는 비노조원을 투입하는 방식으로 시내버스 운행 유지 대책을 세우고 있습니다 ,0,0
62,울산 시내버스 노사   시간 마라톤 협상 마무리 내달  일 재교섭,특히 이날 오후 부산 시내버스 노사가 마련한 기본급   인상   세에서  세로  정년 연장  성과상여급과 하계휴가비를 폐지하고 임금체계를 개선하는 등의 내용이 합의안이 울산 시내버스 노사 협상에도 영향을  ,0,1
63,이랜드리테일  구조조정 속도 일부 직원 강력  반발 , 정년 연장  법안 발의 전 힘든 노동을 전가해 사실상의 인력 구조조정을 한다는 이유다  이 외에도 지원 업무라는 명목으로 암묵적인 강요  휴무 조정  비부가 업무 강요 등 부당 행위가 지속적으로 발생한다는데 비판을  ,1,0
64, 이재명 공약집   정년연장  연내 입법  노동 공약 대거 추가  대선  , 회복과 성장을 위한  정년연장   태스크포스 를 구성해 노사와 시민사회가 논의한 뒤 연내에 입법을 추진한다는 계획입니다  이를 위한 범정부 지원체계와 임금체계  근로시간 개선 관련한 노사자율합의 지원체계도  ,1,1
65,광주 시내버스 마지막 협상 결렬시  일부터 운행 중단,노조는 이번 임단협에서 임금   인상과  정년   세까지  연장  등을 주요 요구안으로 내세우고 있다  그러나 사측은 지난해 수준으로 임금을 동결하는 입장을 밝히고 있는 것으로 전해진다  광주시는  년부터  ,0,0
66,이랜드노조  비상경영 인력 전환 배치 부당 특별관리감독 필요 ,노조에 따르면 현재 회사 측은  정년 연장  법안 발의를 앞두고 희망퇴직을 받거나 관리직 직원들에게 물류센터로 발령을 강행하는 방식으로 구조조정을 시도하고 있다  노조는  특히  년생 관리직 직원 일부에게  ,0,1
67,부산 시내버스 노사 협상 타결 버스 운행 정상화 종합 ,이밖에 현행  정년 인 만  세를 만  세로  년  연장 했다  앞서 노사는 전날 오후  시부터 지노위에서 마지막 쟁의 조정회의를 열고 이날 오전  시  분까지  시간이 넘는 마라톤협상을 진행했지만  사측과 부산시가 인건비  ,0,0
68,버스 멈춘 부산 시민 불편 속 하루 만에 극적 타결,이와 함께 임금은   인상   정년 도  년 늘려 만  세로  연장 했습니다  최종 조정 결렬 후 약  시간 만에 타결된 결과입니다  노조는 곧바로 파업을 철회했습니다  부산시는 이번 사태가 장기화되지 않도록 끝까지 중재에  ,0,0
69,부산 시내버스 노사 임단협 극적 타결 총액임금   인상,이를 통상임금에 반영하는 방식으로 임금체계가 개편된다   정년 은 만  세에서 만  세로  년  연장 된다  한편 부산 시내버스가 파업으로 운행을 전면 중단한 것은  년 준공영제 도입 이후 처음이다   스트레이트뉴스 부산 ,1,0
70,부산 시내버스 파업  시간 만에 종료 준공영제 전면 재점검 ,노사 양측은 상여금 등을 통상임금에 포함하는 방향으로 임금체계를 개편해 임금  를 인상하고   정년 을 현행  세에서  년  연장 하는 부산노동위원회 조정안을 수락했다  박형준 시장은 시내버스 노사 타결 직후  ,1,0
71,부산 시내버스 노사 임금인상 합의   시간 만에 운행 재개,  인상   정년   살에서  살로  연장  성과상여금과 하계휴가비를 폐지하고 임금체계 개선 등을 뼈대로 하는 노사 합의안을 마련했다  박성훈 부산지역버스노동조합 위원장과 성현도 부산시내버스운송사업조합장이  ,1,0
72,서울버스  파업 유보  배경엔  캠프 와 물밑 소통,그동안 이견을 보여왔던 성과상여금  하계휴가비 등은 폐지하고 이를 통상임금에 포함하는 방향으로 임금체계를 개편하기로 했다  이를 반영해 임금은   인상하기로 했다   정년 은 만  세에서 만  세로  년  연장 했다 ,1,0
73,대선  마지막 국무회의 대행  새정부  번영의 길 이끌어주길     오 ,방식으로 임단협을 체결한 곳은 부산 버스 노사가 처음이다  현재 협상이 벌어지고 있는 서울이나 울산  창원 등 다른 곳에도 부산 버스 노사 합의안이 영향을 미칠 것으로 보인다   정년 은 만  세에서 만  세로  년  연장 했다 ,1,0
74,  신체 발언  이준석 사퇴요구에 개혁신당  전과는 그럼 괜찮나 , 정년연장  시 청년고용 문제를 지적하는 상식적 질문에 극단적이라고 매도하고 툭하면 어쩌라고 하는 후보  커피 원가도 호텔경제학도 거북섬도 모두 자기 잘못은 하나도 없고 곡해하고 이해 못하는 너희 잘못이라는 후보  ,0,0
75, 공장 해외 이전  강성노조  때문  포스코 임단협  전운 ,올해 노조는 기본급   인상과 철강 경쟁력 강화 공헌금   자사주  주 지급   정년 연장  의료비 지원 제도 신설 등을 포함한  여 건의 요구안을 제시했다  하지만 국내외 경기침체  중국의 저가 공세 속 철강 업황이  ,1,0
76, 기본급  만원인상  요구안 전달   현대삼호 노사  올해 임금협상 돌 ,회사에 전달된  현대 조선 사 공동요구안에는  기본급  만 원 인상  정년 연장   성과급 산출기준 변경 등의 내용이 담겼다  이와 함께  현대삼호 노조의 개별 요구안에는  하기휴가비 인상  통상임금  ,1,1
77, 현대삼호 노조  기본급  만  원 인상 요구 년 임금 협상 돌입,회사에 전달된  현대 조선  사 공동 요구안에는  기본급  만  원 인상  정년 연장   성과급 산출기준 변경 등의 내용이 담겼다   현대삼호 노조의 개별 요구안에는  하기 휴가비 인상  통상임금 적용범위 확대  ,0,1
78,부산 시내버스 운행 재개 박형준  시민들께 송구 준공영제 재검토 , 정년 은 만  세에서 만  세로  년  연장 했습니다  박형준 부산시장은 이번 사태로 출근길을 포함한 일상 곳곳에서 큰 불편을 겪으신 시민 여러분께 송구하다는 말씀드리면서도  버스준공영제에 지원되는 시 재정은 모두  ,1,0
79,산업계 임단협 시즌 스타트 철강 중공업 자동차 등  미국 관세 전쟁 ,올해 포스코 노조 요구안은  임금 베이스업   인상  철강 경쟁력 강화 공헌금    자사주  주 지급  정년 연장   의료비 지원 제도 신설 등 일시금 항목  가지와 임금성 항목  가지  단체협약 갱신 항목  가지  ,1,0
80,부산 시내버스 노조 파업 철회 조정안 수용,양측은 상여금 등을 통상임금에 포함하는 방향으로 임금체계를 개편해 임금  를 인상하고  정년 을 현행  세에서  년  연장 하는 내용 등에 합의했습니다  노조는 파업에 들어가면서 조합원에게 자택에 대기하라고  ,0,0
81,부산 시내버스 노사 협상 타결 오후부터 운행 재개,  상당 임금 인상과  정년 연장  등 합의 협상이 결렬되며 준공영제 시행 이후 처음으로 파업에 이르렀던 부산 시내버스가  시간 여만에 운행을 재개한다  한국노동조합총연맹 전국자동차노동조합연맹  ,1,1
82,사전투표  자 대결 구도 속 막판 표심잡기 총력전,민주당은  법정  정년 을  세로 단계적으로  연장 하겠다 며  관련  를 구성해  년 내 입법을 추진하겠다 고 약속했다    민주화운동 정신의 헌법 전문 수록  대통령  년 연임제  계엄선포 및 재의요구권 요건 강화  ,0,0
83, 여 야 대선 공약에 한의약 활용 다양한 정책 포함 ,이와 함께 저출생 고령화 대응을 위해  결혼 출생 지원 확대  자녀 양육 위한 세제혜택 강화  주택문제 해결  일과 가정이 조화로운 환경 조성  난임부부의 어려움 해결  법정  정년   세로 단계적  연장  및 노후소득  ,0,0
84,이재명  대통령 된다면 이렇게 공약  건,노동 분야에서는 법정  정년 을  세까지 단계적으로  연장 하고  주  일제를 추진하겠다는 내용이 담겼다  포괄임금제 금지를 명문화하는 한편  근무 시간 외  연결되지 않을 권리 를 보장해 저녁 있는 삶을 뒷받침하겠다는  ,0,0
85,  예산 확대 지역화폐 지원 주 일제  이재명 공약집 발간, 일제 추진과  정년   세 단계적  연장  쌀값 정상화  농산물 유통 개혁과 공익직불금 확대  반려동물 치료 표준수가제 도입 등이다  민주당은 공약집에서  경제와 외교 안보  문화  민주주의  복지 등  대 강국 건설을 위한  ,0,0
86,창원 시내버스  초유의 파업  수백억 재정지원에도 멈춘 운행  시민 불 ,노조와 경영진은 지난해  월 대법원 판결에 따른 정기 상여금의 통상임금 반영  임금   인상   정년   세에서  세로  연장 하는 문제 등을 두고 갈등을 빚고 있다  특히 문제가 되는 부분은 통상임금 문제로 양측 모두  ,0,0
87,부산 버스노조 임금 협상 극적 타결 임금   인상으로 시민 불편 해 ,또한 기사들의  정년 은 만  세에서 만  세로  연장 되었다  이번 합의는 부산지방노동위원회가 조정 회의 결렬을 선언한 지 약  시간 만에 이루어졌으며  그동안 노조 소속 기사들은 업무를 멈추고 시내버스 전 노선을  ,0,0
88,부산 시내버스 노사 협상 타결 박형준 시장  준공영제 전면 재점검 ,노사 합의에 따라 시내버스 노동자들의 임금은   인상된다  기존의 성과상여금과 하계휴가비 등은 폐지되고 통상임금에 포함되는 방식으로 임금체계가 전면 개편된다   정년 은 기존 만  세에서 만  세로  년  연장 된다 ,1,0
89, 일 부산시  시내버스 노사협상 타결 등,이에 따라 실질 임금은   인상되고   정년 은 만  세에서  세로  년  연장 됐다  시는 이번 사태를 계기로 준공영제를 전면 재점검할 계획이다 부산 시내버스의 전면 파업은  년 이후  년 만이며  준공영제 도입  ,0,1
90,부산 시내버스 파업 종료 박형준 시장  준공영제 전면 재점검 ,이와 함께  정년 도 기존 만  세에서 만  세로  년  연장 하기로 합의했다  임금체계 조정으로 인해 기사들의 총임금은 약   인상되는 효과가 있으며  전국에서 상여금을 통상임금에 반영한 첫 사례로 기록됐다  박형준  ,1,0
